Module 001 Port2 FD-H20 Instantaneous flow rate,Module 001 Port3 FD-H32 Instantaneous flow rate,Module 002 Port1 FD-H20 Instantaneous flow rate,Module 003 Port3 FD-H32 Instantaneous flow rate
70,221,81,2122
70,220,81,2136
70,219,81,1752
70,221,81,1356
69,223,82,917
70,222,81,660
70,222,82,448
70,222,83,323
70,222,83,218
71,222,82,168
70,224,83,115
70,224,83,0
70,227,83,0
69,226,82,0
69,223,81,0
69,221,80,0
69,220,80,0
68,217,80,0
68,219,81,0
68,220,81,0
68,219,81,0
68,219,81,0
68,220,81,0
68,219,82,0
68,217,81,0
68,215,81,0
68,218,81,0
69,219,82,0
69,219,82,0
69,223,82,376
69,224,82,891
70,225,82,1339
70,227,83,1607
70,226,83,1813
71,227,84,1925
71,226,85,2003
71,228,84,2072
71,228,85,2112
72,229,85,2135
72,231,85,2150
72,228,85,2153
73,230,85,2156
73,229,85,2149
73,230,85,1555
73,231,84,1197
72,232,85,866
72,232,85,589
72,231,85,426
71,231,84,288
71,228,84,194
71,227,83,150
71,227,82,101
71,226,83,0
71,226,83,0
72,227,83,0
72,229,84,0
72,232,84,0
72,232,84,0
72,231,84,0
72,230,83,0
72,231,83,0
72,228,83,0
72,228,83,0
72,229,83,0
71,228,83,0
71,225,82,0
70,224,82,0
70,221,82,0
69,221,82,0
70,222,83,0
69,222,82,444
70,225,84,1031
70,225,84,1369
71,229,84,1677
72,229,84,1839
72,228,83,1987
71,225,83,2065
70,226,83,2127
69,223,82,2183
69,222,83,2220
69,225,83,2219
70,225,83,2229
70,222,83,2233
70,221,83,2247
70,224,83,1635
70,226,83,1109
70,224,82,795
70,226,82,535
71,228,83,387
72,228,83,282
72,226,83,205
72,225,83,140
72,224,83,102
72,222,82,0
72,219,82,0
71,219,82,0
71,222,83,0
72,222,83,0
71,221,83,0
71,219,83,0
71,221,83,0
71,221,82,0
72,223,83,0
72,226,84,0
72,227,85,0
73,226,84,0
72,230,84,0
72,232,84,0
73,231,84,0
73,229,84,0
74,232,85,0
73,233,84,477
72,230,84,953
72,229,83,1364
71,228,82,1604
70,227,81,1773
70,226,81,1900
70,223,80,1998
69,221,80,2043
69,218,80,2081
69,217,79,2114
68,215,80,2134
68,216,80,2146
69,218,80,2155
69,218,80,2108
69,220,80,1528
69,220,80,1036
69,224,80,747
69,223,81,504
69,222,82,340
69,224,82,246
69,224,81,188
69,222,81,126
70,223,81,0
69,224,81,0
70,223,81,0
69,221,81,0
69,221,81,0
69,223,80,0
68,221,80,0
68,217,79,0
68,215,79,0
68,213,79,0
68,214,79,0
68,215,79,0
67,216,80,0
67,215,79,0
67,215,79,0
68,217,80,0
68,219,81,0
68,221,81,0
68,220,81,0
68,218,81,250
69,219,81,787
69,220,82,1238
69,221,82,1499
69,222,81,1721
69,221,82,1852
69,223,82,1952
69,221,81,2035
69,219,82,2093
68,217,81,2130
68,217,81,2168
66,220,80,2202
64,234,79,2241
64,251,79,2264
63,258,78,1531
62,263,78,1106
62,267,79,753
61,272,78,513
61,273,78,398
61,272,77,271
61,276,78,195
60,277,77,132
60,278,78,0
61,278,78,0
61,279,79,0
60,283,78,0
61,285,78,0
61,284,78,0
61,281,78,0
61,279,79,0
61,279,80,0
60,281,79,0
61,283,79,0
61,283,80,0
61,279,79,0
60,279,79,0
60,282,77,0
60,277,77,0
60,276,76,0
60,276,76,0
60,274,76,264
60,277,76,912
60,275,76,1292
60,276,76,1630
60,276,76,1825
60,277,75,1981
60,280,76,2047
59,276,76,2125
59,280,76,2166
59,282,76,2204
59,281,76,2226
59,281,76,2227
58,278,75,2239
59,277,75,1838
59,278,76,1246
59,276,76,964
58,275,76,653
58,271,76,473
59,271,76,319
58,271,76,214
59,263,77,165
61,245,78,117
62,236,79,0
62,228,78,0
63,226,79,0
63,222,78,0
63,219,78,0
64,216,77,0
63,216,77,0
64,214,77,0
64,211,77,0
64,212,77,0
64,211,78,0
64,211,78,0
64,208,78,0
64,209,78,0
64,211,80,0
64,213,81,0
65,215,81,0
65,213,81,0
65,217,80,0
66,218,80,0
66,219,80,0
66,221,80,506
66,221,81,1084
67,222,80,1416
67,222,81,1695
68,220,82,1865
68,221,83,2005
69,221,83,2099
68,220,83,2161
69,220,83,2206
69,221,84,2240
70,222,83,2275
70,222,83,2289
69,222,83,2307
69,223,83,2134
69,224,82,1543
68,224,82,1048
68,224,81,760
68,222,82,517
68,223,81,401
68,222,80,274
68,222,81,198
69,221,81,135
68,225,82,0
68,228,82,0
68,226,82,0
68,226,81,0
69,225,82,0
69,226,82,0
68,226,83,0
68,226,82,0
68,226,82,0
68,224,82,0
68,224,82,0
69,223,83,0
69,221,83,0
68,224,83,0
68,223,82,0
68,223,81,0
68,226,82,0
68,225,81,0
68,225,82,0
68,224,83,262
68,226,83,874
68,225,83,1225
69,223,83,1527
69,222,83,1705
69,224,83,1806
70,224,84,1928
70,224,84,1994
70,226,84,2040
69,225,83,2076
70,225,83,2114
70,224,83,2138
69,225,82,2146
69,224,82,2168
69,225,82,1848
70,224,81,1328
70,224,82,893
70,225,82,606
70,225,83,467
70,227,83,337
70,226,83,228
71,227,84,167
72,230,84,115
73,232,85,0
74,232,85,0
74,233,86,0
74,236,86,0
74,239,85,0
